seller_id,delivered_orders,late_deliveries,late_delivery_rate,missed_handovers,missed_handover_rate,reviewed_orders,low_reviews,low_review_rate,all_orders,non_receipt_reports,delivery_record_discrepancies,no_recorded_delivery_reports,expected_late_orders,excess_late_orders,non_receipt_report_rate_pct,late_delivery_rate_pct,missed_handover_rate_pct,low_review_rate_pct
11bfa66332777660bd0640ee84d47006,76,11,0.14473684210526316,3,0.039473684210526314,76,17,0.2236842105263158,76,0,0,0,5.20537008634998,5.79462991365002,0.0,14.473684210526317,3.9473684210526314,22.36842105263158
8b28d096634035667e8263d57ba3368c,135,15,0.1111111111111111,8,0.05925925925925926,133,18,0.13533834586466165,139,0,0,0,9.246381074437464,5.753618925562536,0.0,11.11111111111111,5.9259259259259265,13.533834586466165
8e6d7754bc7e0f22c96d255ebda59eba,77,11,0.14285714285714285,30,0.38961038961038963,77,19,0.24675324675324675,78,0,0,0,5.273861798012479,5.726138201987521,0.0,14.285714285714285,38.961038961038966,24.675324675324674
002100f778ceb8431b7a1020ff7ab48f,48,9,0.1875,4,0.08333333333333333,48,6,0.125,49,0,0,0,3.287602159799987,5.712397840200013,0.0,18.75,8.333333333333332,12.5
59b22a78efb79a4797979612b885db36,123,14,0.11382113821138211,6,0.04878048780487805,122,24,0.19672131147540983,123,0,0,0,8.424480534487467,5.575519465512533,0.0,11.38211382113821,4.878048780487805,19.672131147540984
ea566164622c6b439516ab18062c42cd,50,9,0.18,4,0.08,50,12,0.24,50,0,0,0,3.4245855831249865,5.575414416875013,0.0,18.0,8.0,24.0
8581055ce74af1daba164fdbd55a40de,375,31,0.08266666666666667,19,0.050666666666666665,374,35,0.09358288770053476,383,6,1,1,25.6843918734374,5.315608126562601,1.5665796344647518,8.266666666666666,5.066666666666666,9.358288770053475
b2479f944e1b90cf8a5de1bbfde284d6,98,12,0.12244897959183673,12,0.12244897959183673,97,29,0.29896907216494845,100,2,1,0,6.712187742924974,5.287812257075026,2.0,12.244897959183673,12.244897959183673,29.896907216494846
b1fc4f64df5a0e8b6913ab38803c57a9,99,12,0.12121212121212122,41,0.41414141414141414,97,16,0.16494845360824742,99,2,0,0,6.780679454587474,5.219320545412526,2.0202020202020203,12.121212121212121,41.41414141414141,16.49484536082474
05f51e13da97139648b8125c31e5f51b,57,9,0.15789473684210525,11,0.19298245614035087,57,8,0.14035087719298245,60,1,0,0,3.904027564762485,5.095972435237515,1.6666666666666667,15.789473684210526,19.298245614035086,14.035087719298245
a673821011d0cec28146ea42f5ab767f,116,13,0.11206896551724138,21,0.1810344827586207,113,17,0.1504424778761062,120,2,1,0,7.945038552849969,5.054961447150031,1.6666666666666667,11.206896551724139,18.103448275862068,15.04424778761062
0b35c634521043bf4b47e21547b99ab5,43,8,0.18604651162790697,4,0.09302325581395349,42,15,0.35714285714285715,44,1,0,0,2.9451436014874885,5.054856398512511,2.272727272727273,18.6046511627907,9.30232558139535,35.714285714285715
602044f2c16190c2c6e45eb35c2e21cb,45,8,0.17777777777777778,0,0.0,44,16,0.36363636363636365,47,1,0,1,3.082127024812488,4.917872975187512,2.127659574468085,17.77777777777778,0.0,36.36363636363637
2a261b5b644fa05f4f2700eb93544f2c,46,8,0.17391304347826086,1,0.021739130434782608,46,8,0.17391304347826086,46,0,0,0,3.150618736474988,4.849381263525013,0.0,17.391304347826086,2.1739130434782608,17.391304347826086
16090f2ca825584b5a147ab24aa30c86,397,32,0.08060453400503778,21,0.05289672544080604,395,52,0.13164556962025317,401,4,1,0,27.191209530012394,4.808790469987606,0.997506234413965,8.060453400503778,5.289672544080604,13.164556962025317
7ddcbb64b5bc1ef36ca8c151f6ec77df,324,27,0.08333333333333333,3,0.009259259259259259,321,48,0.14953271028037382,333,5,1,1,22.191314578649912,4.808685421350088,1.5015015015015014,8.333333333333332,0.9259259259259258,14.953271028037381
3fd1e727ba94cfe122d165e176ce7967,34,7,0.20588235294117646,0,0.0,34,5,0.14705882352941177,36,0,0,0,2.328718196524991,4.67128180347501,0.0,20.588235294117645,0.0,14.705882352941178
