seller_state,customer_state,delivered_orders,late_deliveries,late_delivery_rate,reviewed_orders,low_review_rate,median_delivery_days,route,all_orders,non_receipt_reports,delivery_record_discrepancies,expected_late_orders,excess_late_orders,late_delivery_rate_pct,low_review_rate_pct,non_receipt_report_rate_pct
PR,RS,562,24,0.042704626334519574,562,0.09074733096085409,12.0,PR → RS,571,5,1,38.49234195432485,0.0,4.270462633451958,9.07473309608541,0.8756567425569177
RS,SP,658,8,0.0121580547112462,657,0.0700152207001522,8.0,RS → SP,669,4,3,45.067546273924826,0.0,1.21580547112462,7.00152207001522,0.5979073243647235
SP,MT,640,38,0.059375,635,0.11496062992125984,16.0,SP → MT,650,4,1,43.83469546399983,0.0,5.9375,11.496062992125983,0.6153846153846154
RJ,MG,547,33,0.0603290676416819,542,0.1070110701107011,10.0,RJ → MG,557,4,3,37.464966279387355,0.0,6.032906764168191,10.70110701107011,0.718132854578097
SC,MG,422,15,0.035545023696682464,420,0.13095238095238096,13.0,SC → MG,429,3,2,28.903502321574887,0.0,3.5545023696682465,13.095238095238097,0.6993006993006993
PR,SC,382,21,0.0549738219895288,381,0.09448818897637795,12.0,PR → SC,389,3,1,26.1638338550749,0.0,5.49738219895288,9.448818897637794,0.7712082262210797
MG,SC,248,16,0.06451612903225806,245,0.11428571428571428,15.0,MG → SC,254,3,1,16.985944492299932,0.0,6.451612903225806,11.428571428571429,1.1811023622047243
MG,GO,149,4,0.026845637583892617,148,0.12162162162162163,13.0,MG → GO,153,3,3,10.20526503771246,0.0,2.684563758389262,12.162162162162163,1.9607843137254901
DF,SP,306,7,0.02287581699346405,306,0.10784313725490197,9.0,DF → SP,313,2,1,20.95846376872492,0.0,2.287581699346405,10.784313725490197,0.6389776357827476
SC,PR,282,7,0.024822695035460994,281,0.0711743772241993,10.0,SC → PR,283,2,1,19.314662688824924,0.0,2.4822695035460995,7.11743772241993,0.7067137809187279
MG,RS,273,12,0.04395604395604396,272,0.11397058823529412,16.0,MG → RS,277,2,1,18.698237283862426,0.0,4.395604395604396,11.397058823529411,0.7220216606498195
SC,SC,253,11,0.043478260869565216,252,0.07936507936507936,7.0,SC → SC,261,2,0,17.328403050612433,0.0,4.3478260869565215,7.936507936507936,0.7662835249042145
RS,SC,114,0,0.0,114,0.03508771929824561,8.0,RS → SC,116,2,0,7.80805512952497,0.0,0.0,3.508771929824561,1.7241379310344827
MG,PR,362,4,0.011049723756906077,361,0.07756232686980609,12.0,MG → PR,365,1,1,24.793999621824902,0.0,1.1049723756906076,7.756232686980609,0.273972602739726
RS,RS,287,8,0.027874564459930314,286,0.038461538461538464,6.0,RS → RS,293,1,0,19.65712124713742,0.0,2.7874564459930316,3.8461538461538463,0.3412969283276451
RS,MG,185,3,0.016216216216216217,184,0.05434782608695652,11.0,RS → MG,187,1,0,12.67096665756245,0.0,1.6216216216216217,5.434782608695652,0.53475935828877
MG,ES,169,8,0.047337278106508875,163,0.12883435582822086,13.0,MG → ES,174,1,1,11.575099270962454,0.0,4.733727810650888,12.883435582822086,0.5747126436781609
SP,RO,167,5,0.029940119760479042,166,0.0963855421686747,18.0,SP → RO,170,1,1,11.438115847637455,0.0,2.9940119760479043,9.63855421686747,0.5882352941176471
BA,SP,135,5,0.037037037037037035,135,0.1037037037037037,10.0,BA → SP,138,1,1,9.246381074437464,0.0,3.7037037037037033,10.37037037037037,0.7246376811594203
GO,SP,125,2,0.016,125,0.072,10.0,GO → SP,129,1,0,8.561463957812467,0.0,1.6,7.199999999999999,0.7751937984496124
SC,RS,286,14,0.04895104895104895,284,0.09507042253521127,11.0,SC → RS,290,0,0,19.588629535474922,0.0,4.895104895104895,9.507042253521126,0.0
MG,DF,183,6,0.03278688524590164,182,0.07692307692307693,11.0,MG → DF,187,0,0,12.533983234237452,0.0,3.278688524590164,7.6923076923076925,0.0
PR,DF,148,4,0.02702702702702703,148,0.11486486486486487,12.0,PR → DF,150,0,0,10.13677332604996,0.0,2.7027027027027026,11.486486486486488,0.0
RS,PR,137,7,0.051094890510948905,136,0.08088235294117647,8.0,RS → PR,138,0,0,9.383364497762463,0.0,5.109489051094891,8.088235294117647,0.0
RJ,GO,107,6,0.056074766355140186,106,0.09433962264150944,13.0,RJ → GO,109,0,0,7.328613147887471,0.0,5.607476635514018,9.433962264150944,0.0
PE,SP,104,2,0.019230769230769232,104,0.09615384615384616,10.0,PE → SP,105,0,0,7.123138012899972,0.0,1.9230769230769231,9.615384615384617,0.0
DF,MG,102,1,0.00980392156862745,102,0.1568627450980392,8.0,DF → MG,102,0,0,6.986154589574973,0.0,0.9803921568627451,15.686274509803921,0.0
